ID,OrderDate,Sales,Profit
0,2011-01-01,408.3,106.14
1,2011-01-01,120.366,36.036
2,2011-01-01,66.12,29.64
3,2011-01-01,44.865,-26.055
4,2011-01-01,113.67,37.77
5,2011-01-01,55.242,15.342
6,2011-01-02,285.78,71.4
7,2011-01-02,290.666,3.4196
8,2011-01-02,206.4,92.88
9,2011-01-02,162.72,68.31
10,2011-01-02,352.35,137.4
11,2011-01-02,400.704,20.024
12,2011-01-02,309.6,148.5
13,2011-01-02,139.65,15.3
14,2011-01-02,40.68,11.79
15,2011-01-02,81.984,-19.136
16,2011-01-02,78.3,20.34
17,2011-01-02,22.65,9.6
18,2011-01-02,20.34,9.9
19,2011-01-02,21.39,0.0
20,2011-01-02,21.06,10.53
21,2011-01-02,11.82,4.2
22,2011-01-02,9.576,-0.9840000000000001
23,2011-01-03,551.16,71.64
24,2011-01-03,1314.45,341.73
25,2011-01-03,1470.78,264.6
26,2011-01-03,364.416,45.456
27,2011-01-03,634.116,-172.1172
28,2011-01-03,246.48,105.96
29,2011-01-03,704.55,288.75
30,2011-01-03,1244.16,211.5
31,2011-01-03,214.75799999999998,7.1579999999999995
32,2011-01-03,457.56800000000004,51.4764
33,2011-01-03,587.7,123.36
34,2011-01-03,376.509,-43.0296
35,2011-01-03,194.64,34.92
36,2011-01-03,362.25,0.0
37,2011-01-03,162.84,76.5
38,2011-01-03,115.74,30.06
39,2011-01-03,493.2,123.24
40,2011-01-03,106.8,29.88
41,2011-01-03,266.25,79.86
42,2011-01-03,351.75,59.64
43,2011-01-03,238.929,62.169
44,2011-01-03,109.1853,-74.4147
45,2011-01-03,151.362,-5.058
46,2011-01-03,91.87200000000001,-45.948
47,2011-01-03,196.74,86.55
48,2011-01-03,117.50399999999999,36.684
49,2011-01-03,137.352,8.5845
50,2011-01-03,98.94,15.78
51,2011-01-03,63.36,23.76
52,2011-01-03,129.55200000000002,-22.6716
53,2011-01-03,63.552,-34.9536
54,2011-01-03,221.16,15.48
55,2011-01-03,30.48,2.73
56,2011-01-03,46.53,12.54
57,2011-01-03,24.354,8.904
58,2011-01-03,23.868000000000002,-7.632000000000001
59,2011-01-03,61.74,17.82
60,2011-01-03,37.08,10.35
61,2011-01-03,146.52,0.0
62,2011-01-03,102.43799999999999,35.238
63,2011-01-03,12.36,2.46
64,2011-01-03,11.76,5.64
65,2011-01-03,48.45,12.09
66,2011-01-03,18.84,-3.5325
67,2011-01-03,17.472,5.6784
68,2011-01-03,13.32,5.46
69,2011-01-03,16.53,7.41
70,2011-01-03,12.636,-1.1640000000000001
71,2011-01-03,21.546,4.266
72,2011-01-03,17.82,3.18
73,2011-01-03,31.14,14.28
74,2011-01-03,25.316999999999997,-28.713
75,2011-01-03,5.94,1.6038
76,2011-01-04,496.584,-289.836
77,2011-01-04,295.92,32.4
78,2011-01-04,567.6,0.0
79,2011-01-04,157.95,69.48
80,2011-01-04,138.696,-25.464000000000002
81,2011-01-04,83.691,30.471
82,2011-01-04,85.536,-47.104
83,2011-01-04,123.12,50.4
84,2011-01-04,80.064,-53.376000000000005
85,2011-01-04,47.56,10.92
86,2011-01-04,67.608,-29.351999999999997
87,2011-01-04,121.5,-48.6
88,2011-01-04,44.94,0.74
89,2011-01-04,20.112000000000002,-1.6880000000000002
90,2011-01-04,43.8,-13.2
91,2011-01-04,29.6,14.8
92,2011-01-04,25.344,-6.0360000000000005
93,2011-01-04,17.8,0.5
94,2011-01-04,66.96,2.6784
95,2011-01-04,10.944,-3.136
96,2011-01-04,15.28,1.96
97,2011-01-04,17.088,5.5536
98,2011-01-04,6.24,3.0576
99,2011-01-04,10.08,-9.12
100,2011-01-04,8.783999999999999,-4.836
101,2011-01-06,1037.7096,298.5096
102,2011-01-06,1029.375,-247.125
103,2011-01-06,1503.25,496.0725
104,2011-01-06,881.93,229.3018
105,2011-01-06,2001.86,580.5394
106,2011-01-06,805.56,185.22
107,2011-01-06,482.48,130.24
108,2011-01-06,449.64,58.44
109,2011-01-06,389.48,23.24
110,2011-01-06,512.19,209.79
111,2011-01-06,222.56,109.04
112,2011-01-06,90.3,31.6
113,2011-01-06,211.803,69.723
114,2011-01-06,109.104,-106.416
115,2011-01-06,140.4,8.28
116,2011-01-06,50.8,22.32
117,2011-01-06,289.2,83.868
118,2011-01-06,102.54,35.88
119,2011-01-06,138.56,66.5088
120,2011-01-06,58.104,6.744
121,2011-01-06,57.6,25.92
122,2011-01-06,166.72,41.68
123,2011-01-06,58.83,6.45
124,2011-01-06,48.48,6.3
125,2011-01-06,65.52,12.376
126,2011-01-06,214.3791,35.1891
127,2011-01-06,47.88,23.94
128,2011-01-06,62.7,9.9
129,2011-01-06,12.72,-18.48
130,2011-01-06,10.116,-10.644
131,2011-01-06,20.712,-11.927999999999999
132,2011-01-06,27.99,-9.57
133,2011-01-06,22.2,9.102
134,2011-01-06,25.92,12.4416
135,2011-01-06,25.23,-5.58
136,2011-01-06,22.14,6.84
137,2011-01-06,21.18,5.88
138,2011-01-06,45.48,20.9208
139,2011-01-06,10.86,4.32
140,2011-01-06,6.99,3.42
141,2011-01-07,1888.236,-161.964
142,2011-01-07,575.92,71.99
143,2011-01-07,622.86,-62.34
144,2011-01-07,138.82,56.76
145,2011-01-07,463.44,120.48
146,2011-01-07,61.84,8.0
147,2011-01-07,34.02,14.28
148,2011-01-07,29.268,-55.632
149,2011-01-07,19.92,6.972
150,2011-01-07,5.148,-9.312000000000001
151,2011-01-07,5.184,-3.6288
152,2011-01-08,1157.58,254.52
153,2011-01-08,516.96,165.42
154,2011-01-08,1503.744,-1842.096
155,2011-01-08,922.86,9.18
156,2011-01-08,270.378,75.078
157,2011-01-08,217.2,21.6
158,2011-01-08,248.64,19.8
159,2011-01-08,99.48,23.82
160,2011-01-08,279.21,0.0
161,2011-01-08,99.25200000000001,9.912
162,2011-01-08,40.158,-89.742
163,2011-01-08,80.43,0.63
164,2011-01-08,52.47,11.52
165,2011-01-08,253.3635,-35.0865
166,2011-01-08,196.02,90.0
167,2011-01-08,53.4,14.94
168,2011-01-08,90.234,-147.546
169,2011-01-08,38.367,-74.193
170,2011-01-08,85.02,13.56
171,2011-01-08,102.762,1.8419999999999999
172,2011-01-08,78.304,29.364
173,2011-01-08,62.92,10.2245
174,2011-01-08,40.704,-51.93600000000001
175,2011-01-08,44.128,12.1352
176,2011-01-08,44.088,-46.302
177,2011-01-08,19.752,6.9132
178,2011-01-08,24.0,0.96
179,2011-01-08,8.972999999999999,-8.997
180,2011-01-08,24.651,-19.359
181,2011-01-08,13.26,6.09
182,2011-01-08,3.321,-4.329
183,2011-01-08,13.38,3.21
184,2011-01-08,11.73,5.37
185,2011-01-08,16.116,-19.344
186,2011-01-08,17.544,5.9211
187,2011-01-08,13.14,5.22
188,2011-01-08,10.415999999999999,-6.774
189,2011-01-08,5.68,1.9169999999999998
190,2011-01-08,7.8839999999999995,-10.655999999999999
191,2011-01-08,1.6019999999999999,-1.578
192,2011-01-09,1429.05,371.49
193,2011-01-09,1232.88,135.6
194,2011-01-09,767.52,45.9
195,2011-01-09,1100.16,175.86
196,2011-01-09,182.88,3.6
197,2011-01-09,473.61,142.08
198,2011-01-09,243.0,119.04
199,2011-01-09,357.0,57.12
200,2011-01-09,137.94,6.87
201,2011-01-09,348.36,5.8
202,2011-01-09,185.56799999999998,-6.192
203,2011-01-09,87.9,21.96
204,2011-01-09,125.22,40.02
205,2011-01-09,77.5,3.8
206,2011-01-09,31.104,10.8864
207,2011-01-09,100.68,6.0
208,2011-01-09,44.28,0.42
209,2011-01-09,64.35,-32.76
210,2011-01-09,37.08,16.2
211,2011-01-09,60.54,20.58
212,2011-01-09,24.0,2.88
213,2011-01-09,23.744,8.3104
214,2011-01-09,53.94,15.6426
215,2011-01-09,19.3,3.66
216,2011-01-09,21.42,5.31
217,2011-01-09,18.24,6.48
218,2011-01-09,3.648,-6.0192
219,2011-01-10,1016.64,406.56
220,2011-01-10,231.97512000000003,43.69512
221,2011-01-10,103.56,18.6
222,2011-01-10,104.76,3.06
223,2011-01-10,66.42,0.66
224,2011-01-10,52.332,-34.048
225,2011-01-10,22.0,3.08
226,2011-01-10,12.9,4.98
227,2011-01-10,8.91,1.59
228,2011-01-10,4.71,0.0
229,2011-01-11,1983.9679999999998,247.99599999999998
230,2011-01-11,743.13,230.31
231,2011-01-11,1592.7,652.95
232,2011-01-11,1549.98,139.32
233,2011-01-11,283.26,-181.38
234,2011-01-11,527.16,131.76
235,2011-01-11,593.64,94.68
236,2011-01-11,770.22,38.22
237,2011-01-11,978.84,110.1195
238,2011-01-11,443.92,-94.333
239,2011-01-11,388.608,29.128
240,2011-01-11,196.8,-66.96
241,2011-01-11,677.4,60.96
242,2011-01-11,928.8,361.2
243,2011-01-11,121.575,-92.475
244,2011-01-11,519.525,-394.875
245,2011-01-11,253.98256,-128.29744
246,2011-01-11,200.394,11.034
247,2011-01-11,588.6,276.6
248,2011-01-11,142.44,-25.68
249,2011-01-11,533.94,154.8426
250,2011-01-11,82.62,-29.97
251,2011-01-11,266.91,2.64
252,2011-01-11,323.46,138.96
253,2011-01-11,494.316,-0.14400000000000002
254,2011-01-11,367.524,-16.355999999999998
255,2011-01-11,255.45,28.05
256,2011-01-11,128.43,1.26
257,2011-01-11,98.59200000000001,22.151999999999997
258,2011-01-11,131.94,10.53
259,2011-01-11,144.27,12.96
260,2011-01-11,160.65,80.25
261,2011-01-11,48.93,-5.91
262,2011-01-11,112.212,4.9319999999999995
263,2011-01-11,147.96,35.46
264,2011-01-11,76.12,22.0748
265,2011-01-11,125.37,0.0
266,2011-01-11,50.43600000000001,-54.233999999999995
267,2011-01-11,69.52,19.4656
268,2011-01-11,94.12799999999999,-10.632
269,2011-01-11,68.704,16.3172
270,2011-01-11,47.1,15.54
271,2011-01-11,37.32,4.84
272,2011-01-11,87.264,2.904
273,2011-01-11,46.41,23.19
274,2011-01-11,47.43,-14.25
275,2011-01-11,87.48,25.29
276,2011-01-11,137.25,38.4
277,2011-01-11,18.768,-12.252
278,2011-01-11,49.343999999999994,-23.855999999999998
279,2011-01-11,47.808,15.5376
280,2011-01-11,155.976,54.5916
281,2011-01-11,32.508,-8.142000000000001
282,2011-01-11,10.5,-8.22
283,2011-01-11,28.62,12.24
284,2011-01-11,28.62,12.24
285,2011-01-11,167.94,82.2906
286,2011-01-11,33.18,4.34
287,2011-01-11,44.4,22.2
288,2011-01-11,8.84,4.24
289,2011-01-11,43.176,4.3176
290,2011-01-11,33.18,4.92
291,2011-01-11,28.23,0.0
292,2011-01-11,31.68,9.8208
293,2011-01-11,15.696,5.1012
294,2011-01-11,15.75,1.71
